carrier_name,vehicle_segment,g/tm CO2,ef_kg_co2e_per_tkm
Accord Transportation Ltd.: Highway,For-Hire,78.929,0.054061944976000004
"Accurate Courier Express, Inc.",For-Hire,91.155,0.06243607032
Ace Hardware Corporation,Private,110.55,0.07572055920000001
"Achint Trucking, Inc",For-hire,84.724,0.05803119545600001
"Acme Truck Line, Inc.",For-Hire,84.25,0.057706532000000005
"Action Resources, LLC: Action Dedicated",For-Hire,78.929,0.054061944976000004
"Action Resources, LLC: Action Resources, LLC",For-Hire,74.0,0.050685856
"Active Aero Motor Carrier, LLC dba Ascent Expedite: AXGD",For-Hire,10.0,0.00684944
Active Freight Systems Corp,For-Hire,60.42,0.04138431648
"Active PTM, LLC: dba Ascent On-Demand: Ascent On-Demand, LLC",For-Hire,164.5,0.11267328800000001
Actual Time Logistic Group: Actual Time Logistics,For-Hire,90.9,0.06226140960000001
Acura Logistics INC,For-hire,92.6,0.0634258144
"Adams Motor Express, Inc.",For-hire,102.4,0.07013826560000001
Adams Truckload LLC,Private,90.9,0.06226140960000001
Adapa LLC,For-Hire,281.0,0.192469264
Adcock Transport,For-Hire,107.0,0.073289008
Aden Logistics Corp,Private,90.9,0.06226140960000001
"Adica Trucking, LLC",For-Hire,76.45,0.05236396880000001
Admiral Transport Corporation,For-Hire,81.0,0.05548046400000001
Advance Global Logistics LLC,For-Hire,101.06,0.06922044064
Advance Transportation Systems,For-Hire,72.91,0.04993926704
Advance Trucking Solutions Inc.,For-Hire,103.45,0.07085745680000001
Advanced Drainage Systems: ADS,For-Hire,105.21,0.07206295824
Advanced Drainage Systems: Hancor of Canada,For-Hire,105.21,0.07206295824
"Advanced Transportation Services, Inc",For-Hire,106.8155,0.073162635832
Advanced Trucking LLC,For-hire,67.91,0.04651454704
"Advantage Transport, Ltd",For-Hire,91.155,0.06243607032
Advon Transport,For-hire,92.6,0.0634258144
Aeronet Worldwide: supply chain solutions,For-Hire,164.5,0.11267328800000001
Aeropres Corporation,Private,74.0,0.050685856
"Affton Transport, LLC: AFTT",For-Hire,104.5,0.071576648
Aftim Transport Ltd.,For-hire,105.21,0.07206295824
Agforce Transport Services,For-Hire,110.12049999999999,0.075426375752
"Agmark Logistics, LLC",For-Hire,81.8,0.0560284192
Agramont Worldwide Logistics Inc,For-hire,102.4,0.07013826560000001
Agri-Fresh Inc.,For-Hire,82.1,0.0562339024
Agri-Mark/Cabot Creamery Cooperative: Cabot DSD,Private,103.45,0.07085745680000001
Agri-Mark/Cabot Creamery Cooperative: Cabot Shuttle,Private,103.45,0.07085745680000001
Agri-Mark/Cabot Creamery Cooperative: Long Haul,For-Hire,103.45,0.07085745680000001
Agricultural Transport,For-hire,75.5,0.051713272000000005
Aim Integrated Logistics,Dedicated,76.25,0.052226980000000006
Aim Transfer & Storage Inc,Dedicated,67.91,0.04651454704
"Aim Transport, Inc.",For-hire,72.91,0.04993926704
Air Capitol Delivery & Warehouse,For-Hire,78.929,0.054061944976000004
"Air Ground Xpress, Inc.",For-Hire,91.155,0.06243607032
"Air-Land Transport Services, Inc.",For-Hire,78.929,0.054061944976000004
Airtime Express Inc.,For-Hire,67.91,0.04651454704
Airways Freight Corp.,Private,81.8,0.0560284192
Al-Amin Brothers Transportation,For-Hire,103.45,0.07085745680000001
"Alabama Motor Express, Inc.",For-Hire,84.724,0.05803119545600001
"Alan Ritchey, Inc.: MFM",For-Hire,91.155,0.06243607032
"Alan Ritchey, Inc.: USM",For-Hire,72.91,0.04993926704
"Alaska West Express, Inc.",For-Hire,91.155,0.06243607032
Alco Transportation Inc.,For-Hire,76.45,0.05236396880000001
Alfa Carrier LLC,Dedicated,93.45,0.06400801680000001
Ali Transportation  LLC,Private,104.5,0.071576648
Alisam Enterprises LLC  DBA Plains Transportation,For-Hire,95.575,0.0654635228
"All American Logistics, Inc.",For-Hire,101.06,0.06922044064
"All Cartage Transportation, Inc.",Dedicated,105.21,0.07206295824
All Freight Carriers DBA AFC Transport: AFC Transport,For-Hire,76.45,0.05236396880000001
All Purpose Professional Services LLC.,For-hire,282.5,0.19349668
All Routes Logistics Inc.,For-Hire,78.929,0.054061944976000004
"All Star Trucking, Inc",For-Hire,93.45,0.06400801680000001
All State Enterprise: AESB,For-Hire,84.724,0.05803119545600001
All Truck Transportation Company,For-Hire,102.4,0.07013826560000001
AllDay AllDay Transportation LLC,For-hire,92.6,0.0634258144
Allegiant Transportation Legacy,For-hire,78.929,0.054061944976000004
Allen Distribution,For-Hire,84.724,0.05803119545600001
"Allen Lund Company, LLC",Private,113.511,0.077748678384
"Alliance Logistics, LLC",Private,105.21,0.07206295824
"Alliance Shippers, Inc.",For-Hire,81.8,0.0560284192
Allstate Transport Inc.,For-Hire,67.91,0.04651454704
Allstates WorldCargo: ASAQ,Private,101.06,0.06922044064
Ally Logistics LLC: Ally Logistics,For-Hire,118.39,0.08109052016000001
Aloha Carriers Inc.,For-hire,78.929,0.054061944976000004
Aloha Trans LLC,For-Hire,90.9,0.06226140960000001
Alpha Logistics Service,For-Hire,140.57,0.09628257808
Alpha Trans Ltd.,For-Hire,76.25,0.052226980000000006
Alpha Zero Global Logistics LLC,For-Hire,140.57,0.09628257808
Alphaco Logistics,For-Hire,140.57,0.09628257808
Altair Global: Move Management,Private,118.39,0.08109052016000001
Altanic Transportation Inc.,For-Hire,91.155,0.06243607032
Altendorf Express,For-Hire,95.575,0.0654635228
Altendorf Trucking: Local,For-Hire,51.0,0.034932144000000005
Altendorf Trucking: OTR,For-Hire,95.575,0.0654635228
"Alto Xpress, Inc.",For-Hire,102.4,0.07013826560000001
Alvarez Transport LLC,For-hire,78.929,0.054061944976000004
Aman Truck Lines LLC,For-hire,78.929,0.054061944976000004
Amazing Trucking & Logistics: Intermodal division,For-Hire,76.5,0.052398216000000004
Amazing Trucking & Logistics: Intermodal truckloads,For-Hire,76.5,0.052398216000000004
Amazon Trucking,Private,83.5,0.057192824
Ambition Transport LLC,For-hire,76.25,0.052226980000000006
Ameri-Co Carriers: Flat Bed,For-Hire,76.45,0.05236396880000001
Ameri-Co Carriers: Heavy Haul,For-Hire,72.91,0.04993926704
Ameri-Co Carriers: Pneumatic,For-Hire,57.6,0.0394527744
Ameri-Co Carriers: Van,For-Hire,78.929,0.054061944976000004
"Ameri-Transport, Inc.",For-hire,72.91,0.04993926704
"AmeriCarrier, Inc.",For-hire,71.0,0.048631024
"America's Service Line, LLC",For-Hire,75.5,0.051713272000000005
American Cargo Enterprise LLC,For-hire,104.5,0.071576648
"American Central Transport, Inc.",For-Hire,72.91,0.04993926704
"American Deliveries, LLC",For-hire,403.0,0.276032432
American Freight Corporation,For-Hire,88.2,0.06041206080000001
American Furniture Warehouse,Private,72.91,0.04993926704
American International Transportation Inc.: Trucks,Private,113.511,0.077748678384
"American National Logistics, Inc.: 12851217",For-Hire,93.45,0.06400801680000001
American Robin Logistics,For-Hire,101.06,0.06922044064
American Specialized Holdings Corp,For-hire,102.4,0.07013826560000001
American Transport Group LLC,For-Hire,113.511,0.077748678384
"American Transportation Systems, INC: Logistics",For-Hire,101.06,0.06922044064
Americanstar Transport LLC,For-Hire,82.1,0.0562339024
Amerifreight Systems LLC,For-Hire,72.91,0.04993926704
Amerit Fleet Solutions,Private,105.21,0.07206295824
Ameriton Freight and Logistics,For-Hire,113.511,0.077748678384
"Amerixpress, Inc.",For-Hire,92.6,0.0634258144
"Amino Transport, Inc: Amino Transport, Inc",For-Hire,116.71600000000001,0.07994392390400001
"Amistad Freight, Inc.",For-Hire,95.575,0.0654635228
"Amodei Logistics, Inc.",Private,140.57,0.09628257808
Ampro Logistics,For-Hire,102.4,0.07013826560000001
Amstan Logistics,For-Hire,113.511,0.077748678384
Ancor Transport Ltd.,For-Hire,84.724,0.05803119545600001
"Andersen Distribution Inc., DBA Andersen Logistics: 12048617",Private,72.91,0.04993926704
Anderson Transportation Co. Inc.,For-hire,82.1,0.0562339024
Anderson-Dubose Company: ADR NY Dist LLC,Private,95.575,0.0654635228
Anderson-Dubose Company: Lordstown,Private,103.45,0.07085745680000001
Andreucci Trucking Inc.,For-Hire,84.724,0.05803119545600001
Andrews Logistics LP,For-Hire,54.5,0.037329448
Andrus Transportation Services: ATS,For-Hire,78.929,0.054061944976000004
Andy Stieva Trucking Ltd.: Andy Stieva Trucking,For-Hire,95.575,0.0654635228
Andy Transport Inc.,For-Hire,67.91,0.04651454704
Angulo Transportation Services,For-Hire,103.45,0.07085745680000001
"Annico, LLC",For-Hire,110.12049999999999,0.075426375752
Another Mile,For-Hire,93.45,0.06400801680000001
Anthem Transport LLC,For-hire,60.42,0.04138431648
Apex Motor Express Ltd.,For-Hire,134.05,0.09181674320000001
Apex Transit,For-Hire,93.45,0.06400801680000001
"Appalachian Freight Carriers, Inc.",For-Hire,75.5,0.051713272000000005
Apple Freight Inc,For-hire,105.21,0.07206295824
Approved Freight Forwarders,For-Hire,140.57,0.09628257808
Aquatrans Distributors Inc.,For-Hire,67.91,0.04651454704
ArcBest: Dedicated,For-Hire,110.12049999999999,0.075426375752
"ArcBest: Truckload, including MoLo Solutions",For-Hire,106.8155,0.073162635832
"Arctic Express, Inc.",For-Hire,75.5,0.051713272000000005
"Ard Trucking Company, Inc.",For-Hire,78.929,0.054061944976000004
Ardmore Power Logistics,For-Hire,164.5,0.11267328800000001
Ardwin Inc.,For-Hire,93.45,0.06400801680000001
Arka Express Inc,For-Hire,72.91,0.04993926704
